,School Name,School State,Degree Type,Program Cost,Annual Cost,Total Cost
487472,Florida Career College-Orlando,FL,1,36378,,36378
486512,Florida International Training Institute,FL,1,25126,,25126
485768,Atlantis University,FL,2,,17591,35182
484172,Lee Professional Institute,FL,1,20611,,20611
485272,West Coast University-Miami,FL,3,,31027,124108
485342,Aparicio-Levy Technical College,FL,1,6483,,6483
457378,Emerald Coast Technical College,FL,1,15866,,15866
457402,University of Fort Lauderdale,FL,2,,15668,31336
443252,South Florida Institute of Technology,FL,1,13871,,13871
439792,Fortis College-Orange Park,FL,1,,28578,28578
446552,Southern Technical College,FL,2,20842,,20842
449092,College of Business and Technology-Hialeah,FL,1,,17552,17552
132374,Atlantic Technical College,FL,1,10779,,10779
132471,Barry University,FL,3,,43524,174096
132657,Lynn University,FL,3,,55100,220400
132851,College of Central Florida,FL,2,,11792,23584
133021,Chipola College,FL,2,,8890,17780
133711,Flagler College-St Augustine,FL,3,,33047,132188
135407,Manatee Technical College,FL,1,10828,,10828
133854,Concorde Career Institute-Miramar,FL,1,32207,,32207
135647,Miami Lakes Educational Center and Technical College,FL,1,11732,,11732
133881,Florida Institute of Technology,FL,3,,58508,234032
135717,Miami Dade College,FL,2,,12378,24756
133951,Florida International University,FL,3,,19434,77736
133997,Florida Career College-Miami,FL,1,34977,,34977
134097,Florida State University,FL,3,,21623,86492
438285,Cortiva Institute-Maitland,FL,1,25676,,25676
430582,Praxis Institute,FL,1,11786,,11786
136491,Pinellas Technical College-Clearwater,FL,1,27342,,27342
134237,Full Sail University,FL,3,,33965,135860
134291,George Stone Technical College,FL,1,12449,,12449
134574,Cortiva Institute-Florida,FL,1,25190,,25190
134714,International Academy,FL,1,24916,,24916
135081,Keiser University-Ft Lauderdale,FL,2,,36356,72712
135267,Fort Myers Technical College,FL,1,9240,,9240
135294,Lindsey Hopkins Technical College,FL,1,9281,,9281
135391,State College of Florida-Manatee-Sarasota,FL,2,,17404,34808
137281,Saint Johns River State College,FL,2,,11062,22124
137351,University of South Florida-Main Campus,FL,3,,20456,81824
137564,Southeastern University,FL,3,,35800,143200
137591,Bene's Career Academy,FL,1,24275,,24275
137777,Talmudic College of Florida,FL,3,,26650,106600
137801,Altierus Career College-Tampa,FL,2,,26136,52272
137847,The University of Tampa,FL,3,,43178,172712
138187,Valencia College,FL,2,,10688,21376
138284,Florida Panhandle Technical College,FL,1,20123,,20123
138354,The University of West Florida,FL,3,,16595,66380
138497,Withlacoochee Technical College,FL,1,10715,,10715
367875,Brewster Technical College,FL,1,10351,,10351
372718,Sunstate Academy,FL,1,28367,,28367
386472,Herzing University-Winter Park,FL,2,,27104,54208
387925,Cortiva Institute-Pompano,FL,1,27070,,27070
404338,Schiller International University,FL,3,,22027,88108
409032,Nouvelle Institute,FL,1,18081,,18081
433068,Okaloosa Technical College,FL,1,16479,,16479
